Location,Application or Treatment,Applications_ID,Dates,Amount (inches),Nutrients Applied
AZI1,irrigation,Application #1,5/26/15,1,
AZI1,irrigation,Application #2,5/28/15,2,
AZI1,irrigation,Application #3,5/31/15,0.5,
AZI1,irrigation,Application #4,6/1/15,0.75,
AZI1,irrigation,Application #5,6/4/15,0.5,
AZI1,irrigation,Application #6,6/7/15,1.25,
AZI1,irrigation,Application #7,6/11/15,0.24,
AZI1,irrigation,Application #8,6/13/15,0.48,
AZI1,irrigation,Application #9,6/15/15,0.25,
AZI1,irrigation,Application #10,6/19/15,0.48,
AZI1,irrigation,Application #11,6/22/15,0.92,
AZI1,irrigation,Application #12,6/25/15,0.4,
AZI1,irrigation,Application #13,6/28/15,0.51,
AZI1,irrigation,Application #14,7/1/15,0.55,
AZI1,irrigation,Application #15,7/3/15,0.22,
AZI1,irrigation,Application #16,7/8/15,1,
AZI1,irrigation,Application #17,7/12/15,0.33,
AZI1,irrigation,Application #18,7/14/15,0.66,
AZI1,irrigation,Application #19,7/19/15,0.66,
AZI1,irrigation,Application #20,7/22/15,0.22,
AZI1,irrigation,Application #21,7/24/15,0.22,
AZI1,irrigation,Application #22,7/25/15,0.55,
AZI1,irrigation,Application #23,7/27/15,0.44,
AZI1,irrigation,Application #24,7/28/15,0.44,
AZI1,irrigation,Application #25,8/5/15,0.44,
AZI1,irrigation,Application #26,8/6/15,0.44,
AZI1,irrigation,Application #27,8/14/15,0.44,
AZI1,irrigation,Application #28,8/17/15,0.55,
AZI1,irrigation,Application #29,8/20/15,0.55,
AZI1,irrigation,Application #30,8/31/15,0.22,
AZI1,irrigation,Application #31,9/1/15,0.22,
AZI1,fertigation,Application #1,6/13/15,0.48,29
AZI1,fertigation,Application #2,6/19/15,0.24,29
AZI1,fertigation,Application #3,6/22/15,0.52,29
AZI1,fertigation,Application #4,6/28/15,0.4,29
AZI2,irrigation,Application #1,5/26/15,1,
AZI2,irrigation,Application #2,5/28/15,2,
AZI2,irrigation,Application #3,5/31/15,0.5,
AZI2,irrigation,Application #4,6/1/15,0.75,
AZI2,irrigation,Application #5,6/4/15,0.5,
AZI2,irrigation,Application #6,6/7/15,1.25,
AZI2,irrigation,Application #7,6/11/15,0.24,
AZI2,irrigation,Application #8,6/13/15,0.48,
AZI2,irrigation,Application #9,6/15/15,0.25,
AZI2,irrigation,Application #10,6/19/15,0.24,
AZI2,irrigation,Application #11,6/22/15,0.52,
AZI2,irrigation,Application #12,6/28/15,0.4,
AZI2,irrigation,Application #13,7/1/15,0.44,
AZI2,irrigation,Application #14,7/3/15,0.11,
AZI2,irrigation,Application #15,7/12/15,0.22,
AZI2,irrigation,Application #16,7/14/15,0.44,
AZI2,irrigation,Application #17,7/19/15,0.44,
AZI2,irrigation,Application #18,7/22/15,0.22,
AZI2,irrigation,Application #19,7/25/15,0.33,
AZI2,irrigation,Application #20,7/28/15,0.33,
AZI2,irrigation,Application #21,8/5/15,0.33,
AZI2,irrigation,Application #22,8/6/15,0.22,
AZI2,irrigation,Application #23,8/14/15,0.22,
