Record Order,Experiment Code,Record ID,Application or Treatment,Product/Nutrient Applied,Date of Application,Quantity per acre,"Application unit
(lbs, in, oz per acre)"
1,ARH1,1,fertilize,Ammonium sulfate,"Wednesday, March 23, 2016",100,lbs/Acre
2,ARH1,2,fertilize,Zinc,"Wednesday, March 23, 2016",35,lbs/Acre
3,ARH1,3,fertilize,18-46-0,"Wednesday, March 23, 2016",150,lbs/Acre
4,ARH1,4,fertilize,0-0-60,"Wednesday, March 23, 2016",200,lbs/Acre
5,ARH1,5,fertilize,46-0-0,"Wednesday, March 23, 2016",50,lbs/Acre
6,ARH1,6,irrigation,irrigate,"Friday, June 10, 2016",,
7,ARH1,7,irrigation,irrigate,"Friday, June 17, 2016",,
8,ARH1,8,irrigation,irrigate,"Thursday, June 23, 2016",,
9,ARH1,9,irrigation,irrigate,"Thursday, June 30, 2016",,
10,ARH1,10,irrigation,irrigate,"Thursday, July 14, 2016",,
11,ARH1,11,irrigation,irrigate,"Friday, July 22, 2016",,
12,ARH1,12,irrigation,irrigate,"Thursday, August 4, 2016",,
13,ARH1,13,irrigation,irrigate,"Thursday, August 11, 2016",,
14,ARH1,14,fertilize,Nitrogen,"Wednesday, June 1, 2016",30,lbs/Acre
15,ARH2,1,pre-plant herbicide,apllied 32oz/acre Liberty 280SL as a burndown,"Monday, April 11, 2016",32,oz/Acre
16,ARH2,2,post-plant herbicide,applied 32oz/acre Liberty 280 SL ,"Thursday, April 28, 2016",32,oz/Acre
17,ARH2,3,post-plant herbicide,applied 24oz/acre Prowl H2O for emergency weed control,"Thursday, April 28, 2016",24,oz/Acre
18,ARH2,4,post-plant herbicide,applied 48oz / acre Lexar EZ herbicide,"Thursday, May 19, 2016",48,oz/Acre
19,ARH2,5,post-plant herbicide,applied 48oz / acre Lexar EZ herbicide,"Tuesday, May 31, 2016",48,oz/Acre
20,ARH2,6,pre-plant herbicide,applied 48oz Roundup PowerMax II / acre as a burn down/pre-emerge,"Friday, April 22, 2016",48,oz/Acre
21,ARH2,7,pre-plant herbicide,applied 32oz Liberty 280SL / acre as a burn down/pre-emerge,"Friday, April 22, 2016",32,oz/Acre
22,ARH2,8,pre-plant herbicide,applied 64oz Warrant / acre as a burn down/pre-emerge,"Friday, April 22, 2016",64,oz/Acre
23,ARH2,9,fertilize,applied 97.789lbs N / acre from urea treated with 2.4oz Agrotain / 50lbs,"Tuesday, May 17, 2016",97.789,lbs/Acre
24,ARH2,10,fertilize,incorporated 100lbs N / acre ,"Friday, April 15, 2016",100,lbs/Acre
25,ARH2,11,fertilize,incorporated 80lbs P2O5 / acre,"Friday, April 15, 2016",80,lbs/Acre
26,ARH2,12,fertilize,incorporated 100lbs K2O / acre,"Friday, April 15, 2016",100,lbs/Acre
27,ARH2,13,irrigation,irrigated,"Friday, June 17, 2016",,
28,ARH2,14,irrigation,irrigated,"Wednesday, June 22, 2016",,
29,ARH2,15,irrigation,irrigated,"Tuesday, June 28, 2016",,
30,ARH2,16,irrigation,irrigated,"Saturday, July 2, 2016",,
31,ARH2,17,irrigation,irrigated,"Tuesday, July 5, 2016",,
32,ARH2,18,irrigation,irrigated,"Friday, July 8, 2016",,
33,ARH2,19,irrigation,irrigated,"Tuesday, July 12, 2016",,
34,ARH2,20,irrigation,irrigated,"Tuesday, July 19, 2016",,
35,DEH1,1,fertilize,0-0-60 (NPK),,300,lbs/Acre
36,DEH1,2,fertilize,20-10-0 (NPK),"Monday, April 25, 2016",1536,oz/Acre
37,DEH1,3,fertilize,UAN ,"Monday, April 25, 2016",1920,oz/Acre
38,DEH1,4,fertilize,UAN,,7040,oz/Acre
39,DEH1,5,pre-plant herbicide,Lexar,"Monday, April 25, 2016",96,oz/Acre
40,DEH1,6,pre-plant herbicide,Simazine,"Monday, April 25, 2016",32,oz/Acre
41,DEH1,7,insecticide,Force 3G,"Monday, April 25, 2016",5.5,lbs/Acre
42,GAH1,1,irrigation,water,"Tuesday, April 26, 2016",,
43,GAH1,2,irrigation,water,"Wednesday, June 1, 2016",,
44,GAH1,3,irrigation,water,"Thursday, June 2, 2016",,
45,GAH1,4,irrigation,water,"Tuesday, June 14, 2016",,
46,GAH1,5,irrigation,water,"Friday, June 24, 2016",,
47,GAH1,6,irrigation,water,"Wednesday, June 29, 2016",,
48,GAH1,7,irrigation,water,"Tuesday, July 12, 2016",,
49,GAH1,8,irrigation,water,"Thursday, July 28, 2016",,
50,GAH1,9,irrigation,water,"Tuesday, May 10, 2016",,
51,GAH1,10,fertilize,8/20/1930,"Tuesday, April 5, 2016",800,lbs/Acre
52,GAH1,11,post-plant herbicide,Dual,"Tuesday, April 12, 2016",12.8,oz/Acre
53,GAH1,12,post-plant herbicide,Atrazine,"Tuesday, April 12, 2016",32,oz/Acre
54,GAH1,13,insecticide,Counter 20g,"Tuesday, April 12, 2016",5.4,lbs/Acre
55,GAH1,14,fertilize,10-34-0,"Tuesday, April 12, 2016",1280,oz/Acre
