Location,Application_or_treatment,Product_or_nutrient_applied,Date_of_application,Quantity_per_acre,Application_unit
ARH1,irrigation,water,"Friday, August 10, 2018",,
ARH1,irrigation,water,"Friday, July 20, 2018",,
ARH1,irrigation,water,"Friday, July 6, 2018",,
ARH1,irrigation,water,"Friday, June 29, 2018",,
ARH1,irrigation,Water,"Friday, May 18, 2018",,
ARH1,irrigation,water,"Saturday, June 16, 2018",,
ARH1,irrigation,water,"Sunday, June 10, 2018",,
ARH1,,Disk,"Sunday, March 25, 2018",,
ARH1,irrigation,water,"Thursday, August 2, 2018",,
ARH1,irrigation,water,"Thursday, July 12, 2018",,
ARH1,fertilize,18-46-0,"Tuesday, April 3, 2018",50,lbs/Acre
ARH1,fertilize,0-0-60,"Tuesday, April 3, 2018",150,lbs/Acre
ARH1,fertilize,21-0-0-24,"Tuesday, April 3, 2018",100,lbs/Acre
ARH1,,zinc,"Tuesday, April 3, 2018",30,lbs/Acre
ARH1,fertilize,46-0-0,"Tuesday, April 3, 2018",75,lbs/Acre
ARH1,,Field Cultivator,"Tuesday, April 3, 2018",,
ARH1,,Hip and Rolled,"Tuesday, April 3, 2018",,
ARH1,,Field Cultivator,"Tuesday, May 1, 2018",,
ARH1,,Hip and Rolled,"Tuesday, May 1, 2018",,
ARH1,fertilize,46-0-0,"Tuesday, May 29, 2018",350,lbs/Acre
ARH1,fertilize,Am Sulfate,"Tuesday, May 29, 2018",100,lbs/Acre
ARH1,,Planted Corn Test,"Wednesday, May 2, 2018",,
ARH1,,Planted Corn Filler Dyna-Grow D57VC51 RR,"Wednesday, May 2, 2018",,
ARH1,post-plant herbicide,Dual,"Wednesday, May 30, 2018",1pt,
ARH1,post-plant herbicide,Atrazine,"Wednesday, May 30, 2018",2pt,
ARH1,post-plant herbicide,Permit,"Wednesday, May 30, 2018",1,oz/Acre
ARH1,post-plant herbicide,Callisto,"Wednesday, May 30, 2018",3,oz/Acre
ARH1,irrigation,water,"Sunday, June 10, 2018",,
ARH1,irrigation,water,"Saturday, June 16, 2018",,
ARH1,irrigation,water,"Friday, June 29, 2018",,
ARH1,irrigation,water,"Friday, July 6, 2018",,
ARH1,irrigation,water,"Thursday, July 12, 2018",,
ARH1,irrigation,water,"Friday, July 20, 2018",,
ARH1,irrigation,water,"Thursday, August 2, 2018",,
ARH1,irrigation,water,"Friday, August 10, 2018",,
ARH2,post-plant herbicide,Acuron,"Wednesday, May 16, 2018",80,oz/Acre
ARH2,post-plant herbicide,crop oil,"Wednesday, May 16, 2018",,
DEH1,pre-plant herbicide,Lexar,"Friday, May 4, 2018",96,oz/Acre
DEH1,pre-plant herbicide,Simazine,"Friday, May 4, 2018",32,oz/Acre
DEH1,fertilize,N,"Saturday, June 2, 2018",174,lbs/Acre
DEH1,post-plant herbicide,Atrazine,"Thursday, June 7, 2018",32,oz/Acre
DEH1,post-plant herbicide,Impact,"Thursday, June 7, 2018",1,oz/Acre
DEH1,fertilize,N,"Thursday, June 7, 2018",116,lbs/Acre
DEH1,insecticide,Sniper LFR ,"Wednesday, May 2, 2018",5,oz/Acre
DEH1,fertilize,N,"Wednesday, May 2, 2018",43,lbs/Acre
DEH1,fertilize,P2O5,"Wednesday, May 2, 2018",36,lbs/Acre
DEH1,fertilize,S,"Wednesday, May 2, 2018",2,lbs/Acre
GAH1,post-plant herbicide,Satellite HydroCap,"Monday, April 30, 2018",32,oz/Acre
GAH1,post-plant herbicide,Atrazine 4L,"Monday, April 30, 2018",32,oz/Acre
GAH1,post-plant herbicide,Broadloom,"Monday, April 30, 2018",24,oz/Acre
GAH1,irrigation,water,"Monday, May 7, 2018",0.6,in/Acre
GAH1,fertilize,28-0-0-0.5,"Monday, May 7, 2018",4262.4,oz/Acre
GAH1,fertilize,Boron 10%,"Monday, May 7, 2018",128,oz/Acre
GAH1,irrigation,water,"Thursday, June 21, 2018",0.6,in/Acre
GAH1,post-plant herbicide,Me Too Lachlor II,"Tuesday, April 3, 2018",10,oz/Acre
GAH1,post-plant herbicide,Atrazine 4L,"Tuesday, April 3, 2018",32,oz/Acre
GAH1,fertilize,9.3-31.7-0,"Tuesday, April 3, 2018",8,lbs/Acre
GAH1,fertilize,Orangeburg Mix,"Tuesday, April 3, 2018",128,oz/Acre
GAH1,fertilize,lime,"Tuesday, February 20, 2018",2000,lbs/Acre
GAH1,post-plant herbicide,Gramoxone,"Tuesday, July 24, 2018",32,oz/Acre
GAH1,post-plant herbicide,Crop Oil,"Tuesday, July 24, 2018",32,oz/Acre
GAH1,fertilize,12.72-9.8-23.57,"Tuesday, March 27, 2018",1337,lbs/Acre
GAH1,irrigation,water,"Tuesday, May 1, 2018",0.6,in/Acre
GAH1,fertilize,28-0-0-0.5,"Tuesday, May 15, 2018",4262.4,oz/Acre
GAH1,fertilize,Boron 10%,"Tuesday, May 15, 2018",128,oz/Acre
GAH2,irrigation,water,"Monday, July 23, 2018",0.75,in/Acre
GAH2,irrigation,water,"Monday, July 9, 2018",0.75,in/Acre
GAH2,irrigation,water,"Monday, June 18, 2018",0.5,in/Acre
GAH2,irrigation,water,"Monday, June 25, 2018",0.75,in/Acre
GAH2,pre-plant herbicide,Atrazine,"Sunday, April 1, 2018",2 qt,
GAH2,fertilize,lime,"Sunday, April 1, 2018",1000,lbs/Acre
GAH2,fertilize,5.5-26-30 fertilizer,"Sunday, April 1, 2018",400,lbs/Acre
GAH2,irrigation,water,"Thursday, June 14, 2018",0.75,in/Acre
GAH2,irrigation,water,"Tuesday, July 10, 2018",0.75,in/Acre
GAH2,fertilize,Nitrogen sidedress,"Tuesday, June 12, 2018",240,lbs/Acre
GAH2,irrigation,water,"Tuesday, June 26, 2018",0.75,in/Acre
ILH1,pre-plant herbicide,Outlook/Infantry,,21/48,oz/Acre
ILH1,post-plant herbicide,Calisto/Atrazine/AMS/COC,,3/32/2.5%/1%,oz/Acre
ILH1,fertilize,UAN 28%,,60,gal/Acre
