Location,Application_or_treatment,Product_or_nutrient_applied,Date_of_application,Quantity_per_acre,Application_unit
COH1,fertilize,Nitrogen,4/9/21,150,lb
COH1,post-plant herbicide,Roundup Powermax,5/24/21,18.1,oz
COH1,irrigation,water,5/26/21,0.5,in
COH1,irrigation,water,6/8/21,1,in
COH1,irrigation,water,6/16/21,1,in
COH1,irrigation,water,6/21/21,1.25,in
COH1,irrigation,water,6/28/21,1,in
COH1,irrigation,water,7/6/21,1,in
COH1,irrigation,water,7/12/21,1,in
COH1,irrigation,water,7/19/21,1,in
COH1,irrigation,water,7/26/21,1.5,in
COH1,irrigation,water,8/2/21,1,in
COH1,irrigation,water,8/9/21,1.5,in
COH1,irrigation,water,8/17/21,0.75,in
COH1,irrigation,water,8/25/21,1.5,in
COH1,irrigation,water,9/1/21,1,in
COH1,irrigation,water,9/9/21,1,in
COH1,irrigation,water,9/23/21,0.5,in
DEH1,fertilize,Nitrogen ,,32,lb
DEH1,fertilize,Nitrogen ,,203,lb
DEH1,fertilize,Phosphorous,,36,lb
DEH1,insecticide,Sniper LFR,,5,oz
DEH1,post-plant herbicide,Atrazine ,,32,oz
DEH1,post-plant herbicide,Impact,,0.75,oz
DEH1,pre-plant herbicide,Lexar ,,96,oz
DEH1,pre-plant herbicide,Simazine,,32,oz
GAH1,fertilize,50-135-340,3/23/21,1223,lb
GAH1,fertilize,9.3-31.7-0,3/25/21,8,lb
GAH1,insecticide,Counter 20G,3/25/21,5.4,lb
GAH1,post-plant herbicide,Atrazine 4L,3/26/21,32,oz
GAH1,post-plant herbicide,Charger Max,3/26/21,16,oz
GAH1,post-plant herbicide,Atrazine 4L,4/23/21,32,oz
GAH1,post-plant herbicide,Broadloom,4/23/21,24,oz
GAH1,post-plant herbicide,Prowl H2O,4/23/21,32,oz
GAH1,fertilize,24-0-0-3,4/30/21,4570,oz
GAH1,fertilize,Boron,4/30/21,1,lb
GAH1,post-plant herbicide,Broadloom,4/30/21,24,oz
GAH1,post-plant herbicide,Charger Max,4/30/21,16,oz
GAH1,fertilize,24-0-0-3,5/7/21,4570,oz
GAH1,irrigation,water,5/18/21,1.25,in
GAH1,irrigation,water,5/25/21,1.3,in
GAH1,irrigation,water,6/1/21,1.1,in
GAH2,pre-plant herbicide,Atrazine,4/12/21,32,oz
GAH2,pre-plant herbicide,Warrant,4/12/21,24,oz
GAH2,fertilize,Nitrogen,5/24/21,150,lb
GAH2,fertilize,Nitrogen,6/28/21,150,lb
GEH1,post-plant herbicide,Aspect,6/8/21,0.51,L
GEH1,post-plant herbicide,Laudis,6/8/21,0.65,L
GEH1,fertilize,1 dt DAP 46/18 46,Before Planting,"16 (N), 41 (P)",lb
GEH1,fertilize,"1,5 dt KAS 40 kg N /ha",Before Planting,35.7 (N),lb
GEH1,fertilize,20 sqm fermentation substrates,Before Planting,"51.75, 40.7, 111.7 (N,P,K)",lb
GEH1,fertilize,N-min 41 kg /N,Before Planting,36.6 (N),lb
IAH1,fertilize,MAP and POTASH,11/6/20,31-150-138,lb
IAH1,fertilize,32% UAN,4/19/21,170 lb (actual N),lb
IAH1,pre-plant herbicide,Atrazine,5/6/21,1.5,lb
IAH1,pre-plant herbicide,Zidua SC,5/6/21,3.25,oz
IAH1,post-plant herbicide,Atrazine,6/7/21,0.5,lb
IAH1,post-plant herbicide,Impact,6/7/21,0.75,oz
IAH4,fertilize,Potash 0-0-60,4/1/21,290.6,lb
IAH4,fertilize,11-52-0-MAP,4/1/21,223.9,lb
IAH4,fertilize,21-0-0-24 Ammonium Sulfate,4/1/21,68.2,lb
IAH4,fertilize,82% Anhydrous Ammonia,4/7/21,135,lb
IAH4,pre-plant herbicide,Harness Xtra,4/20/21,2,quarts
IAH4,post-plant herbicide,Armezon,5/31/21,1,oz
IAH4,post-plant herbicide,Atrazine,5/31/21,1,pints
INH1,fertilize,28% UAN with Instinct,4/14/21,150,lb
INH1,post-plant herbicide,"Bicep II,",5/25/21,51,oz
INH1,post-plant herbicide,interlock,5/25/21,3,oz
INH1,post-plant herbicide,Roundup weathermax,5/25/21,32,oz
MIH1,fertilize,Starter Fertilizer 16.55-6.59-2.03,5/13/21,158.6,lb
MIH1,post-plant herbicide,Atrazine,5/14/21,1,lb
MIH1,post-plant herbicide,Explorer,5/14/21,6,oz
MIH1,post-plant herbicide,Me-Too-Lachlor II,5/14/21,21.28,oz
MIH1,post-plant herbicide,Hornet,6/9/21,3,oz
MIH1,fertilize,28% Nitrogen,6/24/21 for all but plots in pass 2; 7/5/21 for pass 2,428,lb
MNH1,fertilize,0-0-60,5/10/21,100,lb
MNH1,fertilize,AMS 21-0-0-24,5/10/21,100,lb
MNH1,fertilize,MAP (11-52-0),5/10/21,175,lb
