Location name,Type,Experiment,City,Farm,Field,long,lat,Plot length (center to center in feet),Alley length (inches),Row spacing (inches),Number kernels planted,Planter type,Previous crop,Insecticide,Pre-plant herbicides,Post-plant herbicides,Tillage method,Soil test type,Soil texture,Soil pH,Total nitrogen,Total phosphorus,Total potassium,Nutrient application schedule,Irrigated?,Weather station includes irrigation,Fertigation schedule,Irrigation schedule,Local check,Harvest date,Planting date,Inbred reps,Inbred plots,Collaborators,Data file name,traits,folder,Metadata file name,additional metadata,Weather Station serial number,Weather-folder
DE,hybrid,DEH1,Georgetown,Elbert N. & Ann V. Carvel Research & Education Center,27AB,-75.204048,38.637405,17.42,24,30,,Air planter,Soybean,5.5 lb/A Force 3G,Lexar 3 qt/A + Simazine 1qt/A,None,Conventional,,,,338 lb/A,207 lb/A,120 lb/A,"Preplant 120 lb K2O/ac as 0-0-60; 117 lb PAN/ac as poultry litter; 194 lb P2O5/ac as poultry litter; At plant: 5/5/2014; 26 lb N/ac as 20-10-0-1; 13 lb P2O5/ac as 20-10-0-1; At sidedress: 195 lb N/ac as 30% UAN
",Yes,Yes,n/a,"6-17- .5""; 6-29- .5""; 7-1 - .5'; 7-8 - .3""; 7-21 - .3""; 7-22 - .25""; 7-29 - .25""; 8-1 - .25""; 8-12 - .3""",Entry 28  & 237 = DKC54-40 RIB GENVT2P; Entry 47 & 242 = DKC57-77 RIB GENVT2P; Entry 58 & 244 = DKC61-89 RIB GENVT2P; Entry 72 & 245 = DKC62-08 RIB GENSS; Entry 78 & 246 = DKC63-87 RIB GENVT2P; Entry 124 & 247 = DKC64-69 RIB GENVT3P; Entry 175 = DKC65-19 RIB GENVT3P,9/29/2014,5/5/2014,,,Randy Wisser,G2FDE1_hybrid.csv,all except twt,Delaware,G2FDE1_metadata_hybrid.csv,,9079,Delaware\Environmental Data\Station 9079\
GA,hybrid,GAH1,Tifton,Bellflower,18,-83.555016,31.506544,20,72,36,72,fluted cone,cotton,,none,Atrazine. Prowl. and Basagran,conventional,See file 'Additional G2F metadata-GA1-2014.xlsx',Loamy Sand,7.1,292,240,300,3/24/2014 8/20/1930 broadcast 1000#/A; 4/4/2014 10-34-0 row band 10gal/A; 4/4/2014 Agri Starter Orangeburg row band 4qt/A; 5/7/2014;28-0-0-0.5;row band;100#N/A; 5/7/2014;Boron;row band;20 ounce/A; 5/14/2014;28-0-0-0.5;row band;100#N/A,yes,yes,none,May 9; May 28; June 5; June 16; July 7.  Approx. 1 inch of rain equivalent was applied each time.,DKC 69-72,9/10-11/2014,4/4/2014,,,Joe Knoll,G2FGA-Hyb.csv,all,Georgia,G2F_metadata_GA_hybrid_final.csv,G2F_metadata_GA_hybrid_final.csv; Additional G2F metadata GA1-2014.xlsx,8427,Georgia\Environmental Data\Knoll-Tifton\
IA1,hybrid,IAH1,Ames,Worle,,-93.696188,41.99653,20,30,30,72,Air planter,Soybean,none,5/12:  2.2 pt Harness,6/9:  0.75 oz. Impact; 1.5 pt. Atrazine,field cultivator,,,,156,80,75,fall '13:  NH3; 4/12:  11-52-0  Map; 0-0-60 granular potash,no,,,,,,,,,Jode Edwards,NA,all,Iowa,G2F_metadata_IA1_hybrid.csv,,9080,Iowa\Environmental Data\m2700s09080\
IA2,hybrid,IAH2,Carroll,,,-94.727606,42.066206,20,30,30,72,Air planter,Soybean,none,,,field cultivator,,,,,,,,no,,,,,,,,,Jode Edwards,NA,all except flowering,Iowa,G2F_metadata_IA2_hybrid.csv,,9083,Iowa\Environmental Data\m2700s09083\
IA3,hybrid,IAH3,Keystone,,,-92.259751,41.98713,20,30,30,72,air planter,Soybean,none,5/8:  5.6 oz. Corvus; 48 oz. Atrazine 4L,5/24:  1.75 pt Boundary 6.5cc; 2 lbs AMS; 32 oz. Powermax; 6/10: 2 lbs AMS; .75 oz. Armezon; 17 oz. Crop Oil;,No-till,,,,140,0,0,5/8:  140-0-0,no,,,,,,,,,Jode Edwards,NA,all except flowering,Iowa,G2F_metadata_IA3_hybrid.csv,,9085,Iowa\Environmental Data\m2700s09085\
IA4,hybrid,IAH4,Crawfordsville,Southeast Research Farm,14,-91.486943,41.198645,20,30,30,72,Air planter,Soybean,none,5/22:  2.3 qt Harness Xtra,"6/13:  0.5 oz. Impact, 0.5 lb Atazine",field cultivator,,,,159,92,120,4/22:  dry fert 36-92-120; 4/23: 150 lbs Ammonia,no,,,,,,,,,Jode Edwards,NA,all except flowering,Iowa,G2F_metadata_IA4_hybrid.csv,,9082,Iowa\Environmental Data\m2700s09082\
IL1,hybrid,ILH1,Urbana,Maxwell Farms,MF500,-88.233184,40.061135,20,30,30,,air,soybeans,none,outlook; infantry,none,conventional,not recently tested,481A - Raub silt loam; non-densic substratum; 0 to 2 percent slope,not recently tested,180 lb,none,none,180 lb Nitrogen/acre preplant,none,none,preplant only,none,DKC63-84,rep 1 - 9/30/14; rep 2 - 10/7/14,5/6/2014,,,Martin Bohn,G2FIL 101214.csv,all,Illinois,G2F_metadata_IL_all_01122015.csv,,8653,Illinois\Environmental Data\
IN,hybrid,INH1,West Lafayette,Purdue ACRE,97/98,-87.006,40.488,20,30,30,66,Air planter,Soybeans,None,2.5 qt bicep II magnum,None,Chisel plow and field cultivator,n/a,n/a,n/a,180lb per acre of NH3; and 18lb per acre from application of di-ammonium phosphate (DAP) at 100lb/acre,46lb per acre from application of DAP at 100lb/acre,None,see above,No,n/a,n/a,n/a,P1221AMXT,11/18/2014,5/25/2014,,,Torbert Rocheford,G2FIN_FINAL.csv,all,Indiana,G2F_metadata_IN_hybrid_final.csv,,8657,Indiana\Environmental data
MN,hybrid,MNH1,Waseca,Southern Research & Outreach Center,NA,-93.53409096,44.06971707,28,72,30,40,fluted cone,soybean,NA,Verdict at 18 oz/A,NA,Fall chisel plow and spring field cultivate,NA,Webster Clay Loam,NA,160 N/A as Anhydrous Ammonia in the spring,0,0,NA,no,n/a,NA,NA,DKC 45-79,10/16/2014,5/16/2014,,,Candy Hirsh/Nathan Springer,G2FMN_10.17.14_FINAL.csv,all,Minnesota,G2F_metadata_MN_hybrid_v2_1.8.15.csv,,8650,Minnesota\Environmental Data\MN1_2014_WatchDog\
MO1,hybrid,MOH1,Columbia,Bradford,C1a,-92.20997,38.898702,20,36,36,70,air planter,soybean,n/a,n/a,Degree Xtra,chisel plow in fall; field cultivated in spring,n/a,50058 = Mexico silt loam; 0 to 2 percent slopes,n/a,118 pound/A,46 pound/A,62 pound/A,none other than preplant above,yes,Y,n/a,"7/21/14  0.5"" target; measured 0.37""","""Trophy Hybrid""",10/22/2014,5/7/2014,,,Sherry Flint-Garcia,G2FMO1.csv,no twt,Missouri,G2F_metadata_MO1_hybrid_final.csv,,8645,Missouri\Environmental Data\m2700s08645\
MO2,hybrid,MOH2,Columbia,Rollins=Hinkson Creek Bottoms,block 5,-92.352163,38.928745,20,36,36,70,air planter,soybeans,none,Lexar E Z,Callisto,Disc in previous fall,n/a,"66014 = Haymond silt loam, 0 to 3 percent slopes, frequently flooded  ",n/a,125 pound/A,30 pound/A,30 pound/A,n/a,no,n/a,n/a,n/a,"""Trophy Hybrid""",11/13/2014,5/5/2014,,,Sherry Flint-Garcia,G2FMO2.csv,no twt,Missouri,G2F_metadata_MO2_hybrid_final.csv,,8646,Missouri\Environmental Data\m2700s08646\
