Experiment,Type,Treatment,City,WS_SN,WS Lat,WS Lon,DateIn,DateOut,Previous Crop,Tillage,PlotLen,AlleyLen,RowSp,PlanterType,KernelsPerPlot,Moisture Meter,LBS for  test,corner1 lat,corner1 lon,corner 2lat,corner2 lon,corner3 lat,corner3 lon,corner4 lat,corner4 lon,Cardinal,date of soil sampling,preplant herb,postplant herb,total N,total P,total K,fert dates 1,fert dates 2,fert dates 3,fert dates 4,fert dates 5,fert dates 6,fert dates 7,fert dates 8,Type of Fert,Insecticide
AZI1,Inbred,Irrigated,Willcox,8639,32.034726,-109.692471,6/28/15,10/7/15,Corn,Disk,15,24,30,air planter,20,,,32.034293,-109.69252,32.03438,-109.692344,32.034864,-109.692338,32.034793,-109.692518,,,"Makaze, Glyphosate (isopropylamine salt); Medal II EC, S-metolachlor; Eptam, S-ethyl dipropylthiocarbamate; Trifluralin HF, Trifluralin; Atrazine 4L, Atrazine",Cadet; Fluthiacet-methyl,118,0,0,6/12/15,6/13/15,6/18/15,6/19/15,6/22/15,6/25/15,6/28/15,7/7/15,UAN; 32-0-0,Coragen; Chlorantraniliprole
AZI2,Inbred,Drought,Willcox,8639,32.034726,-109.692471,6/28/15,10/7/15,Corn,Disk,15,24,30,air planter,20,,,32.034774,-109.692585,32.034857,-109.692389,32.035309,-109.6924,32.035239,-109.692593,,,"Makaze, Glyphosate (isopropylamine salt); Medal II EC, S-metolachlor; Eptam, S-ethyl dipropylthiocarbamate; Trifluralin HF, Trifluralin; Atrazine 4L, Atrazine",Cadet; Fluthiacet-methyl,118,0,0,6/12/15,6/13/15,6/18/15,6/19/15,6/22/15,6/25/15,6/28/15,7/7/15,UAN; 32-0-0,Coragen; Chlorantraniliprole
DEH1,Hybrid,,Georgetown,9079,38.62932,-75.465731,5/1/15,9/14/15,Lima beans followed by rye cover crop,Conventional,17.4,24,30,air planter,,Almaco seed specter II,3.5,38.629977,-75.465973,38.628821,-75.465055,38.629867,-75.466279,38.628762,-75.465463,149,4/15/15,"Lexar 3qt/A combo of Metolachlor, Atrazine and Mesotrione Princep 1qt/A",,250,0,120,6/2/15,,,,,,,,300 lb/A 7-0-40 pre-plant 12.5gal/A 10-20-0-1 at planting 65gal/A UAN sidedress,Force 3G 5.5 lb/A at planting
DEI1,Inbred,,Newark,9078,39.670418,-75.749907,6/4/15,10/21/15,Corn,Conventional,12,24,30,fluted cone,20,,,39.67015,-75.749714,39.670155,-75.749678,39.670658,-75.749994,39.670644,-75.750035,248,5/12/15,,"Accent 0.66oz/ac, Atrazine 4L 1.0 pt/ac, callisto 3oz/ac",102,40,40,7/13/15,,,,,,,,NPK and 30% UAN,Counter 20G
GAH1,Hybrid,,Tifton,8427,31.505161,-83.55518,4/1/15,8/26/15,Corn,Conventional,20,72,36,fluted cone,36,ALMACO,2.7,31.506502,-83.554962,31.506521,-83.555359,31.505027,-83.555155,31.505034,-83.554904,180,12/29/14,,"Prowl, Atrazine, Basagran",275,200,240,3/25/15,4/1/15,4/28/15,5/7/15,,,,,"granular 8-20-30, popup 10-34-0, liquid nitrogen 28-0-0-0.5",Counter 20g
GAI1,Inbred,,Tifton,8631,31.507876,-83.55518,4/22/15,8/7/15,corn,conventional,20,72,36,fluted cone,25,ALMACO,2.7,31.507694,-83.555663,31.507675,-83.555502,31.507884,-83.555513,31.507919,-83.55566,0,12/29/14,,"Prowl, Atrazine, Basagran",175,200,240,3/25/15,4/22/15,5/11/15,,,,,,"granular 8-20-30, popup 10-34-0, liquid nitrogen 28-0-0-0.5",Counter 20g
IAH1,Hybrid,,Ames,9080,41.99762,-93.69622,,,Soybean,Field cultivator,17.5,30,30,SRES Air,72,Almaco,3,41.99825412,-93.69447028,41.99826556,-93.69227225,41.99793628,-93.69226917,41.99792483,-93.6944672,89.6,5/2/17,Harness,Impact and Atrazine,166,30,40,4/14/15,,,,,,,,"first app. 11-52-9 map (6 lbs N, 30 lbs. P) + 0-0-60 granular potash, spring app of 150 lbs. N as NH3",
IAH2,Hybrid,,Carrol,9083,42.067505,-93.617996,,8/21/15,Soybean,Field cultivator,17.5,30,30,SRES Air,72,Almaco,3,,,,,,,,,,,,,,,,,,,,,,,,,
IAH3,Hybrid,,Keystone,9085,41.97589,-92.24096,,,Soybean,No-till,17.5,30,30,SRES Air,72,Almaco,3,41.97577808,-92.24139608,41.97576974,-92.24447597,41.97593459,-92.24440323,41.97594273,-92.24139688,91.2,4/30/17,Instigate and Bicep,Impact and Atrazine,167,80,60,11/20/14,5/3/15,,,,,,,only total given by producer;  fall application of 17-80-60;  150 lbs. N in spring,
IAH4,Hybrid,,Crawfordsville,9082,41.19938,-91.49214,,,Soybean,Field cultivator,17.5,30,30,SRES Air,72,Almaco,3,41.19981657,-91.4951794,41.19976729,-91.49206415,41.1996038,-91.49214138,41.19965079,-91.49511131,269.792,5/1/17,Harness Xtra,Impact and Atrazine,196,92,120,4/17/15,,,,,,,,dry fertilizer + 160# Ammonia,
IAI1,Inbred,,Ames,9084,42.016411,-93.768742,5/13/15,9/30/15,Hybrid Corn,"Plowed in previous fall, C-shank cultivated twice in spring",12.5,30,30,fluted cone,25,,,42.016365,-93.768715,42.016564,-93.768715,42.016564,-93.768945,42.016365,-93.768945,270,6/11/15,Bicep Light II,Impact,120,0,0,4/30/15,,,,,,,,,
