Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
ARH1,,Mariana,,,Mariana,,8658,34.728333,-90.760278,4/22/16,9/1/16,corn,"Cultivate, hip and row",none,25,60,38,fluted cone,98,combine,,34.729884,-90.759742,34.729894,-90.76094,34.729151,-90.759824,34.729151,-90.760916,,Pioneer1319YHR,UA extension agent,Pioneer1637YHR,UA extension agent,Pioneer2160YHR,UA extension agent,DKC66-87,UA extension agent,DKC67-72,UA extension agent,Large pigweed in field at harvest August 30 and Sept. 1,,,,,,,,,
ARH2,Standard,Jonesboro,Arkansas State University,PSSC1,ARH2,,10794,35.838876,-90.664864,5/2/16,11/11/16,soybeans,"cultivate, hip, row",none,14.5,42,30,fluted cone,44,hand held ,0.2,35.838816,-90.665006,35.838818,-90.6655901,35.838411,-90.6655901,35.838411,-90.66502,,Pioneer1319YHR,UA extension agent,Pioneer1637YHR,UA extension agent,Pioneer2160YHR,UA extension agent,DKC66-87,UA extension agent,DKC67-72,UA extension agent,goose feeding has impacted the stand of most plots on the South and East sides (5/5/16),"  flash flooding caused stem lodging across the field (5/24/16) however, it did recover","  2 passes with hipper roller (4/18/16)
 ",2 passes with the field cultivator (4/15/16),4 passes with disk (4/15/16),,,,,
DEH1,,Georgetown,Davis Farms,,DEH1,,9079,38.648453,-75.45161,4/28/16,9/14/16,Soybean,,"Disked, chisel plow & final disking",17.4,28,30,air planter,75,Almaco seed specter II,3.5,38.64865,-75.45159,38.64878,-75.45188,38.64781,-75.45277,38.64757,-75.428,243,DKC54-40RIB GENVT2P,DKC54-40RIB GENVT2P,DKC62-08RIB GENSS,DKC62-08RIB GENSS,DKC63-87RIB GENVT2P,DKC63-87RIB GENVT2P,DKC64-69RIB GENVT3P,DKC64-69RIB GENVT3P,DKC65-19RIB GENVT3P,DKC65-19RIB GENVT3P,On 6-14-2016 the battery for the weather station was found dead. Data was missing from 6-6-2016 to 6-14-2016. Battery was replaced on 6-14-2016,On 8-26-2016 the battery for the weather station was found dead. Data was missing from 8-21-2016 to 8-26-2016. Battery was replaced on 8-26-2016,,,,,,,,
GAH1,Standard,Tifton,Bellflower,11,,Tifton loamy sand/Dothan loamy sand,8427,31.50743,-83.558661,4/12/16,8/24/16,peanut,conventional,plow,20,72,36,fluted cone,72,Almaco,2,31.50822,-83.559182,31.507852,-83.559413,31.507663,-83.557656,31.507935,-83.55794,121,DKC69-72,DeKalb,DKC69-29,DeKalb,P2023R,Pioneer,P1498R,Pioneer,P31G65,Pioneer,Field is not rectangular; it is curved to contour to the landscape.,,,,,,,,,
GAH2,Standard,"Watkinsville, GA",Iron Horse Plant Sciences Farm,A Field / Between Creeks Field,,Augusta A / Cartecey A,ms2700s08631,33.71722,-83.31133,5/25/16,10/27/16,Soybean,Conventional disc tillage,none,15,48,30,Fluted cone,52,John Deere Moisture Chek-Plus SW08120,<1,33.71736,-83.31141,33.71722,-83.31133,33.71722,-83.31068,33.71738,-83.31069,90,DKC69-72 (DeKalb),Joseph Knoll,DKC69-29 (DeKalb),Joseph Knoll,P2023R (Pioneer),Joseph Knoll,P1498R (Pioneer),Joseph Knoll,P31G65 (Pioneer),Joseph Knoll,"07-07-2016 Field had major weed infestation. We took lawnmowers to clear out alleys and between rows. Weeds were shaded out after that, so just kept the alleys clean with Roundup applied via hooded sprayer (to prevent drift).","05-25-2016 Planter jammed and failed to plant 2 passes (plots 5,6,31,32,41,42,67,68, 77, 78, 103, and 104 in rep 1; and plots 8, 9, 34, 35, 44, 45, 70, 71, 80, and 81 in rep 2","06-01-2016 Runoff gulley washed away fertilizer in a diagonal across the field, leaving some plots stunted: Rep 1 plots 1-4, 30-36, 41-46, 60-63, 85-87, and 93-95; and rep 2 plots 17-19",Stalk lodging and root lodging were not taken due to misunderstanding the standard operating procedures,Test weight was not taken due to a miscommunication with the field manager,,,,,
IAH1,Standard,Crawfordsville,SERF,Field 14,CRW14,,9080,41.198693,-91.486205,4/22/16,10/1/16,soybean,field cultivator,none,20,30,30,air planter,83,Almaco,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAH2,Standard,Carroll,Thielen,Field 6,CRL06,,9085,42.06591034,-94.7274477,4/25/16,10/11/16,soybean,field cultivator,none,20,30,30,air planter,83,Almaco,3.5,,,,,,,,,,,,,,,,,,,,weather station rain bucket plugged when removed,wind storm causing root lodging and greensnap just before flowering,,,,,,,,
IAH3,Standard,Keystone,Polhman,Field 2,KYS02,,9082,41.987383,-92.2601563,4/23/16,10/6/16,soybean,none,none,20,30,30,air planter,83,Almaco,3.5,,,,,,,,,,,,,,,,,,,,field is continuous no-till,,,,,,,,,
IAH4,Standard,Ames,Kitchen,KTC01,KTC01,,11859,41.99750188,-93.69989887,4/26/16,10/17/16,soybean,field cultivator,none,20,30,30,air planter,83,Almaco,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILH1,Standard,"Champaign, IL",Maxwell Farm,MF-500,,Flanagan Silt Loam (154A),8653,40.061188,-88.234042,5/21/16,10/10/16,Soybeans,Chisel,,20.8,40,30,air planter,33,Harvest Master,,40.061188,-88.233272,40.061188,-88.234491,40.060261,-88.234491,40.060261,-88.233272,,P1417AMX,,P1197AMXT,,P0339AMT,,P1311AMXT,,DKC62-77,,,,,,,,,,,
