Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g.†m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,In-field weather station serial number,In-field_weather_station_latitude (in decimal),In-field_weather_station_longitude (in decimal),Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
ARH1,Standard,Marianna,Lon Mann Cotton RS,,,,8658,34.728369,-90.759801,4/14/17,,,,,corn,disk and hip,,25,60,38,John Deere 7300,98,HarvestMaster,4,34.729874,-90.759769,34.729865,-90.76089,34.720138,-90.760876,34.729129,-90.759768,,Pioneer1319YHR,UA extension agent,Pioneer1637YHR,UA extension agent,Pioneer2160YHR,UA extension agent,DKC66-87,UA extension agent,DKC67-72,UA extension agent,"The first week of September we experienced tropical storm force winds. Harvest occurred a few days later and several of the plots had no plants standing. Since this had happened after our last stand count, we don't have data for lodged plants.",,,,,,,,,
ARH2,Standard,Keiser,UA expt. Station,4N,ARH2,flat,10794,35.674898,-90.076596,,,,,,corn,till and hip,,25,60,38,fluted cone,98,Almaco Seed Spector LRX,5,35.674718,-90.07489,35.67471,-90.075622,35.673653,-90.075661,35.673644,-90.074905,180,Pioneer1319YHR,UA extension agent,Pioneer1637YHR,UA extension agent,Pioneer2160YHR,UA extension agent,DKC66-87,UA extension agent,DKC67-72,UA extension agent,,,,,,,,,,
COH1,Drought,Fort Collins,ARDEC,400A,COH1,,14289,40.649055,-104.99986,5/1/17,11/20/17,15504,40.647989,-104.999431,sugar beet,,,17.5,30,30,belt cone,64,Juniper Classic Grain Gauge,5-6.5,40.647855,-105.000257,40.647855,-104.999281,40.649146,-104.999314,40.649145,-105.000278,180,P9697AM~S,Pioneer,P9789AMXT,Pioneer,N68B,Syngenta,G12J11,Syngenta,G10D98,Syngenta,"Sugar beets caused soil compaction on dry side of field, causing dry treatment corn to suffer nutrient deficiency. Kickstarter was applied on June 28 to mitigate the problem","Labor was short during stand count. Stand count spanned over two weeks. As a result, our dry side stand count data (namely, root and stalk lodging) do not as accurately represent the state of the field at harvest as the wet side data","Due to heavy phenotyping (leaf water content and root pulling force) during the week of July 31, we did not take flowering notes on August 1, August 2, and August 3. The dry side was retroactively phenotyped for flowering and silking, but the wet side was not. ",Moisture levels were very high at harvest and we were forced to hand harvest 56 plots throughout the field. We dried these samples down in ovens and took all harvest phenotypes at that point. ,,,,,,
DEH1,Standard,Georgetown,Davis Farm,,,,9079,38.67123,-75.433096,4/28/17,9/21/17,,,,corn,"disked, chisel plow and field cultivator",,17.42,24,30,air planter,75,HarvestMaster Classic GrainGage,5,38.669557,-75.433932,38.669434,-75.433613,38.671009,-75.432751,38.671033,-75.433162,0.0007,DKC62-20RIB,DKC62-20RIB,DKC64-35RIB,DKC64-35RIB,DKC65-19RIB GENVT3P,DKC65-19RIB GENVT3P,DKC65-71RIB,DKC65-71RIB,DKC67-72RIB,DKC67-72RIB,,,,,,,,,,
GAH1,Standard,Tifton,Bellflower,11,,Tifton loamy sand,8427,31.507325,-83.558322,4/4/17,9/8/17,,,,corn,"harrowed, rototilled",cultivation,20,72,36,belt cone,72,ALMACO,2,31.508253,-83.559239,31.507864,-83.559422,31.507681,-83.557598,31.507979,-83.55792,125,DKC 69-72,commercial,DKC 62-08,commercial,P1916,commercial,P2023HR,commercial,DKC 67-88,commercial,"Rain almost 3 inches day after planting, soil crusted before emergeance","April 12, 2017, rotorary hoed to break crust for better emergance",,,,,,,,
GAH2,Standard,Watkinsville,Iron Horse,,GAH2,Masada A/Wickham sandy loam,8631,33.726878,-83.299077,5/3/17,9/12/17,,,,Cotton,disc,,25,5,30,fluted cone,52,Wintersteiger Single High Capacity GrainGauge,Based on the technitian's experience a minimum of 4 lbs is required. However the user manual says the minimum volume for accurate determination is 2 liters,33.726862,-83.297769,33.727317,-83.297691,33.727422,-83.298665,33.726979,-83.298736,270,DKC 69-72,Obtained from Joe Knoll (GAH1),DKC 62-08,Obtained from Joe Knoll (GAH1),P1916,Obtained from Joe Knoll (GAH1),P2023HR,Obtained from Joe Knoll (GAH1),DKC 67-88,Obtained from Joe Knoll (GAH1),,,,,,,,,,
IAH1,Standard,Crawfordsville,Southeast Research Farm,13,CRW13,,9082,41.20082,-91.49531,,,,,,Soybean,field cultivator,,20,30,30,air planter,72,Almaco seed spector,3.5,41.19942883,-91.49516276,41.19910071,-91.49524455,41.19906392,-91.49291949,41.1993909,-91.49276503,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,,,,,,,,,,
IAH2,Standard,Carroll,Thielen,Field 8,CRL08,,9080,42.06427,-94.72114,,,,42.06458,-94.7207,Soybean,field cultivator,,20,30,30,air planter,72,Almaco seed spector,3.5,42.06455508,-94.72074524,42.06460553,-94.72030238,42.06712988,-94.72025685,42.06702455,-94.7207007,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,,,,,,,,,,
IAH3,Standard,Keystone,Polhman,Field 1,KYS01,,9085,41.97574,-92.24096,,,1450s-14823,41.97575843,-92.2414782,Soybean,1 pass with soil finisher,,20,30,30,air planter,72,Almaco seed spector,3.5,41.97575167,-92.24144143,41.97599864,-92.24144258,41.97598944,-92.24497298,41.97574266,-92.24489826,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,,,,,,,,,,
IAH4,Standard,Ames,Worle,Field 1,WRL01,,9083,41.99399,-93.68836,,,,41.9944,-93.6887,Soybean,field cultivator,,20,30,30,air planter,72,Almaco seed spector,3.5,41.99439403,-93.68863495,41.99472332,-93.6886365,41.99471451,-93.69202079,41.99438541,-93.69194566,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,MBS5787HXT,,,,,,,,,,,
