Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,In-field weather station serial number,In-field_weather_station_latitude (in decimal),In-field_weather_station_longitude (in decimal),Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
ARH1,Standard,Marianna,UA Experiment Station,,ARH1,,8658,34.728337,-90.759734,4/25/2018,11/21/2018,,,,corn,"cultivate, hip and row",,25,60,38,fluted cone,98,combine,,34.729169,-90.760887,34.729849,-90.759808,34.729849,-90.75981,34.729849,-90.760877,180,,Pioneer 1319 YHR,,Pioneer 1637 YHR,,,,,,,,,,,,,,,,
ARH2,Standard,Keiser,UA Experiment Station,,ARH2,,10794,35.67486,-90.076613,4/29/2018,11/20/2018,,,,corn,"cultivate, hip and row",,25,60,38,fluted cone,98,combine,,35.673794,-90.075296,35.673803,-90.074643,35.674685,-90.074643,35.674682,-90.075308,180,,Pioneer 1319 YHR,,Pioneer 1637 YHR,,,,,,,Heavy weed populations,Many plots had 50% or less seed germination,,,,,,,,
DEH1,Standard,Georgetown,Davis Farms,,,,9079,38.649238,-75.450214,5/3/2018,9/20/2018,,,,corn,"disked, ripped, field cultivator",,17.42,24,30,air planter,85,HarvestMaster Classic GrainGage from Juniper Systems,56 lb/bu and adjusted to 15.5% moisture,38.649088,-75.450174,38.648837,-75.44943,38.650624,-75.44828,38.65803,-75.448661,49,D44VC36,D44VC36,DKC65-71,DKC65-71,DKC62-20,DKC62-20,,,,,High moisture affected the entire field and some plots were flooded and the plots were not harvested,Some plots were heavily affected by rodents (deer),,,,,,,,
GAH1,Standard,Tifton,USDA-Bellflower Farm,18,,Tifton loamy sand,8427,31.505203,-83.555172,3/29/2018,8/31/2018,,,,peanut,"Ripper Bed, rototill",cultivator,20,72,36,belt cone,72,ALMACO,2.5,31.506548,-83.55493,31.506534,-83.555365,31.50524,-83.555381,31.504979,-83.554925,180,DKC-62-08,DeKalb,,,,,,,,,The test weight load cell on the combine was not keeping a constant reading throughout the field,,,,,,,,,
GAH2,Standard,Watkinsville,Iron Horse,Field A,GAH2,,8631,33.714777,-83.30889,4/20/2018,9/19/2018,,,,soybean,standard (disk plow),,26,72,30,fluted cone,72,Myrris,4 or 5,33.714938,-83.309224,33.714922,-83.308706,33.716314,-83.308677,33.716263,-83.30918,0,DKC62-08Ê,"Dekalb (via Joe Knoll, GAH1)",DKC62-08Ê,"Dekalb (via Joe Knoll, GAH1)",DKC62-08Ê,"Dekalb (via Joe Knoll, GAH1)",DKC62-08Ê,"Dekalb (via Joe Knoll, GAH1)",DKC62-08Ê,"Dekalb (via Joe Knoll, GAH1)",A late spraying damaged some of the plots along either side b/c the corn was too tall; these have been individually marked and the worst ones (>20 plants affected) set to missing for lodging and harvest data,"Two large irrigation alleys go through the field. These correspond to ranges 7 & 14, which is why these are not in the fieldbook","Soil moisture sensor broke partway through the season, but realized it was a problem too late. New one purchased for next year.",,,,,,,
IAH1,Standard,Crawfordsville,Southeast Research Farm,14,CRW14,,9082,41.198704,-91.486184,5/8/2018,10/23/2018,,,,,,,20,30,30,,,,,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,,,,,,,,,,
IAH2,Standard,Carroll,Thielen,6,CRL06,,9080,42.06593,-94.727418,4/29/2018,10/23/2018,,,,,,,20,30,30,,,,,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,IAH2-R3 and IAH2-R4 were nearly 100% root lodged due to a summer wind storm and were not harvestable,,,,,,,,,
IAH3,Standard,Keystone,Pohlman,2,KYS02,,11859,41.98745,-92.260145,4/30/2018,10/31/2018,,,,,,,20,30,30,,,,,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,,,,,,,,,,
IAH4,Standard,Ames,Worle,2,WRL02,,9085,41.997745,-93.696248,5/15/2018,10/29/2018,,,,soybean,,,20,30,30,air planter,,Almaco seed spector,3.5,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,43.07471,-89.384397,,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,MBS5787HXT,MBS Genetics,,,,,,,,,,
ILH1,Standard,Champaign,Maxwell Farm,MF200,ILH1,Flanagan Silt Loam,8653,40.063415,-88.230049,4/26/2018,9/24/2018,,,,soybean,chisel,,20.8,40,30,air planter,33,,,40.063426,-88.228307,40.063415,-88.230049,40.062582,-88.230049,40.062582,-88.228301,,P1197AM,Pioneer Hibred,,,,,,,,,,,,,,,,,,
