Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,In-field weather station serial number,In-field_weather_station_latitude (in decimal),In-field_weather_station_longitude (in decimal),Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Plot_length (center-alley to center-alley in feet),Alley_length (in inches),Row_spacing (in inches),Type_of_planter (fluted cone; belt cone; air planter),Number_kernels_planted_per_plot (>200 seed/pack for cone planters),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Local_Check_#1_Pedigree,Local_Check_#1_Source,Local_Check_#2_Pedigree,Local_Check_#2_Source,Local_Check_#3_Pedigree,Local_Check_#3_Source,Local_Check_#4_Pedigree,Local_Check_#4_Source,Local_Check_#5_Pedigree,Local_Check_#5_Source,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Issue/comment_#7,Issue/comment_#8,Issue/comment_#9,Issue/comment_#10
DEH1,Standard,Newark,Caravel Research & Education Center,Dill 4,,,22053,38.630142,-75.466098,5/15/20,9/15/20,,,,soybean,,"Chisel plow, disc, field cultivator",17.5,30,30,air planter,75,HarvestMaster Classic GrainGage from Juniper Systems,5,38.630059,-75.466066,38.629741,-75.466677,38.627882,-75.465236,38.628242,-75.464662,158,DKC65-95RIB,Dekalb,DKC70-27RIB,Dekalb,DKC62-53RIB,Dekalb,,,,,Heavy stalk and root lodging from tropical storm wind Hurrican Isaias on August 4,Additional weather data source: http://www.deos.udel.edu,,,,,,,,
GAH1,Standard,Tifton,Bellflower,11,,Tifton loamy sand,8427,31.507281,-83.558275,4/2/20,8/21/20,,,,peanut,"harrow, ripper bed, rototill",none,20,72,36,belt cone,72,ALMACO LRX,2.5,31.508254,-83.559249,31.507862,-83.559443,31.507801,-83.557503,31.507993,-83.557873,135,,,,,,,,,,,Field is not rectangular; it is curved.,,,,,,,,,
GAH2,Standard,Watkinsville,Iron Horse,F,,,8631,33.7236676,-83.303488,5/5/20,10/15/20,,,,soybean,,,25,60,30,fluted cone,72,Mirus Harvest Master,,33.723144,-83.303353,33.7239356,-83.302108,33.7237226,-83.3017214,33.72342,-83.303425,90,Augusta,,Augusta,,Augusta,,Augusta,,Augusta,,"""Throughout G2F field there is some regular skewness in the alleys; itis a bit  difficult to explain without walking it or seeing it from above, but  essentially it seems that each plot was planted 'short' in the direction of planting. At first I thought it was a 'tripping' error on my behalf but it is very even and throughout the field, so I consulted Wallace about it. 

Wallace and I took a look at it together on 6/17/2020 and think it may be due to how the planter/tractor was calibrated that day. We had expected the planting density to be enough to evenly
fill a plot 20 ft long (and the tractor tire marks are for 20ft long plots), but it seems that the planting  density is only enough to evenly fill about 16.5 ft of each plot. Thus  there is about a 3.5 ft gap at the 'end' of each plot, with the end  being relative to the direction we planted in.""","There is no back border on G2F; plots 1-545, 1-546, 1-547, 1-548, 1-549, 1-550 are all exposed, without a border buffer for protection.",The front border for G2F was planted in the grass; ie didn't offer a lot of protection,"With the corn already dried yet late to be harvested, some late season storms came through and caused a large amount of lodging throughout the field. Unfortunately this probably coincided a bit with the weather station outage from 8/15 to 8/24.",Additional weather source available online: http://www.georgiaweather.net/?content=calculator&variable=CC&site=PENFIELD,,,,,
GEH1,Standard,Goettingen,Reinshof,,,,8658,51.495663,9.924344,,,,,,wheat,"15cm cultivator, seedbed preperation with power harrow",,22.96587927,39.37007874,27.55905512,air planter,90,Liebherr Litronic FMS,,51.494772,9.923347,51.494812,9.924173,51.495754,9.924023,51.495707,9.923189,,Bendictio,KWS,Figaro,KWS,Ricardinio,KWS,Kilomerias,KWS,Barros,KWS,Some of the plots weren't uniformly distributed,Local_check_#6: Rafinio (Source: KWS).,Local_check_#7: Stabil (Source: KWS).,,,,,,,
IAH1,Standard,Crawfordsville,Southeast Research Farm,14,CRW14,,11859,41.198693,-91.486186,5/11/20,10/19/20,,,,soybean,soil finisher,none,20,30,30,air planter,72,Almaco seed spector,3.5,41.19863411,-91.48738002,41.1986341,-91.48796141,41.19687761,-91.48796141,41.19682273,-91.48738002,180,MBS3640GTCBLL*MBS9530,,,,,,,,,,6/4/2021 - fixed soil moisture and soil temperature probes; previously in wrong ports,,,,,,,,,
IAH4,Standard,Ames,Worle,WRL01,WRL01,,9085,41.993996,-93.688349,5/29/20,10/6/20,,,,soybean,field cultivator,none,20,30,30,air planter,72,Almaco seed spector,3.5,41.99455269,-93.68862236,41.9949645,-93.68862582,41.99499492,-93.69259883,41.99453768,-93.6925222,269.7,MBS3640GTCBLL*MBS9530,,,,,,,,,,"Plot heavily damaged by derecho (severe thunderstorm) on August 10, 2020",5/26/2021 - replaced soil moisture proben on weather station,,,,,,,,
INH1,Standard,West Lafayette,ACRE,54N,G2F,Raub-Brenton complex,8657,40.479273,-86.989045,5/14/20,10/15/20,,,,soybean,,cultivate,15,30,30,air planter,64,Harvestmaster,5,40.478355,-86.990133,40.478355,-86.989066,40.479238,-86.989066,40.479238,-86.990133,0,LH119xPHP02,WL13-7918xPHP02,,,,,,,,,,,,,,,,,,
MIH1,Standard,Lansing,MSU Agronomy,C7,M1H120,,9078,42.708228,-84.46955,5/26/20,10/28/20,,,,soybean,Chisel plow followed by cultivator,none,25,36,30,vacuum precision planter,88,Harvest Master Hi Capacity Grain Gauge HM800,6,42.708226,-84.46955,42.70894,-84.469548,42.708929,-84.471627,42.708215,-84.471605,270,,,,,,,,,,,Listed 2 stand counts. Initial stand count is from 6/15/2020 and includes all plants that germinted; Final stand count is from 10/26/2020 and is the initial stand count minus plants removed for sampling purposes,,,,,,,,,
MNH1,Standard,Waseca,SROC,,MNH1,,8650,44.070629,-93.526527,,,,,,soybean,cultivate 2x,,25,36,30,air planter,80,grain gauge,10,44.06857957,-93.53302313,44.068601,-93.532235,44.069564,-93.532232,44.069569,-93.533031,0,DKC54-38RIB (RM 104),Dekalb,,,,,,,,,Weather station quit working at start of season. supllemental weather data is included in the weather folder.,,,,,,,,,
MOH1,Standard,Columbia,Bradford,C5A,G2F,"Mexico Silt Loam, 1-4 percent slopes, eroded. https://soilseries.sc.egov.usda.gov/OSD_Docs/M/MEXICO.html",8645,38.89722,-92.20743,6/3/20,10/19/20,,,,soybean,spring field cultivator,none,20,36,30,air planter,70,seed spector,5,38.89847,-92.20674,38.89845,-92.20743,38.89722,-92.20743,38.89721,-92.20677,180,MC4354VT2PRIB,MorCorn (MFA Inc),,,,,,,,,"received 4.5"" of rain within a of planting; low spots had standing water and low germination; plots discarded accordingly.",stands thinned to 50 plant for standard 2-row plots; HIPS thinned to 100 plants (4-row plots),Weather station batteries died about a month before combining.  last check one month prior had good battery life.,Addicional weather source available online: http://agebb.missouri.edu/weather/history/index.asp?station_prefix=bfd,,,,,,
MOH1,Standard,Columbia,Bradford,C5B,G2F,"Mexico Silt Loam, 1-4 percent slopes, eroded. https://soilseries.sc.egov.usda.gov/OSD_Docs/M/MEXICO.html",8645,38.89722,-92.20743,6/3/20,10/19/20,,,,soybean,spring field cultivator,none,20,36,30,air planter,70,seed spector,5,38.89505,-92.20753,38.89505,-92.20681,38.8966,-92.20681,38.89661,-92.20748,0,MC4354VT2PRIB,MorCorn (MFA Inc),,,,,,,,,"received 4.5"" of rain within a of planting; low spots had standing water and low germination; plots discarded accordingly.",stands thinned to 50 plant for standard 2-row plots; HIPS thinned to 100 plants (4-row plots),Weather station batteries died about a month before combining.  last check one month prior had good battery life.,Addicional weather source available online: http://agebb.missouri.edu/weather/history/index.asp?station_prefix=bfd,,,,,,
