Year,Env,Experiment_Code,Treatment,City,Farm,Field,Trial_ID (Assigned by collaborator for internal reference),"Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",Weather_Station_Latitude (in decimal numbers NOT DMS),Weather_Station_Longitude (in decimal numbers NOT DMS),Date_weather_station_placed,Date_weather_station_removed,Previous_Crop,Pre-plant_tillage_method(s),In-season_tillage_method(s),Type_of_planter (fluted cone; belt cone; air planter),System_Determining_Moisture,Pounds_Needed_Soil_Moisture,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left),Latitude_of_Field_Corner_#2 (lower right),Longitude_of_Field_Corner_#2 (lower right),Latitude_of_Field_Corner_#3 (upper right),Longitude_of_Field_Corner_#3 (upper right),Latitude_of_Field_Corner_#4 (upper left),Longitude_of_Field_Corner_#4 (upper left),Cardinal_Heading_Pass_1,Issue/comment_#1,Issue/comment_#2,Issue/comment_#3,Issue/comment_#4,Issue/comment_#5,Issue/comment_#6,Irrigated,Date_Planted,Plot_Area_ha,Comments
2022,DEH1_2022,DEH1,Standard,Georgetown,Caraval Research & Education Center,19 AB,,,22053,38.637,-75.458,4/29/22,9/19/22,soybean,,,air planter,HarvestMaster Classic GrainGage,,38.638,-75.459,38.637,-75.458,38.638,-75.458,38.638,-75.458,48,Deer damage on the early hybrids,Link to additional weather source available online: http://www.deos.udel.edu,,,,,yes,4/25/22,0.000696773,
2022,GAH1_2022,GAH1,Standard,Tifton,USDA Belflower,24,,Tifton loamy sand,8427,31.50633,-83.55729,4/5/22,8/25/22,peanut,"ripper bed, rototill",none,belt cone,Almaco seed spector,2,31.50634,-83.55874,31.50575,-83.55872,31.50571,-83.55727,31.50633,-83.55729,90,Link to additional weather source available online: Georgia Weather - Automated Environmental Monitoring Network Page (uga.edu) - http://weather.uga.edu/mindex.php?content=calculator&variable=CC&site=TIFTON,,,,,,yes,4/4/22,0.000780386,
2022,GAH2_2022,GAH2,Standard,Watkinsville,Iron Horse Farm,F / GAH2,,,8631,33.726022,-83.304912,4/14/22,9/22/22,soybeans with fall cereal rye cover,Strip tillage,none,fluted cone,High Capacity Mirus Harvest Master,,33.726652,-83.30523,33.726171,-83.304913,33.726662,-83.303714,33.727171,-83.304013,59,Local_Check from John Patrick Chemical,Plot 77 and 261 are local check and have same corn in them; planted plot 478 with local check as well because of planting error,"6-2-22 realized side border corn wasn't planted so plot 1,2,3,4..40 and 521,522, 523...550 have no border corn on sides","Hog damaged noticed on 6/28/22; affected plots include: 119, 120, 121, 122, 123, 124, 126, 127, 128, 199, 200, 202, 206, 276, 277, 278, 279, 280, 284, 286, 288, 290, 437, 438, 439, 440, 441, 442, 443, 520, 521, 525 (some plants in plot)",,,yes,4/14/22,0.00088258,
2022,IAH1_2022,IAH1,Standard,Crawfordsville,Southeast Research Farm,14,IAH1,,,,,,,soybean,,none,air planter,Almaco seed spector,4,"41.19862525
",-91.48696744,"41.19862462
",-91.48743982,"41.19670346
",-91.48743538,"41.19670409
",-91.486963,179.9,,,,,,,no,,0.000812902,
2022,IAH2_2022,IAH2,Standard,Carroll,Thielen,Field 06,IAH2,,,,,,,soybean,,none,air planter,Almaco seed spector,4,"42.06620464
",-94.72927302,"42.06619965
",-94.72879431,"42.06877886
",-94.72874597,"42.06878384
",-94.72922468,0.8,"Thunderstorm caused very high level of root lodging and some greensnap.  Corn was upright at end of season, but mostly goosenecked.
Root lodging not recroded becuase of high percentage of goosenecking
Greensnap not counted separately, so stalk lodging includes both goosenecking and stalk lodging
Some very low yields caused by greensnap
","Root lodging not recroded because of high percentage of goosenecking
","Greensnap not counted separately, so stalk lodging includes both goosenecking and stalk lodging
","Some very low yields caused by greensnap
",,,no,,0.000812902,
2022,IAH3_2022,IAH3,Standard,Keystone,Pohlman,Field 02,IAH3,,,,,,,soybean,field cultivator,none,air planter,Almaco seed spector,4,"41.98804458
",-92.25977761,"41.98768784
",-92.25977761,"41.98768784
",-92.2563201,"41.98804458
",-92.25632008,90,,,,,,,no,,0.000812902,
2022,IAH4_2022,IAH4,Standard,Ames,Worle,Field 01,IAH4,,,,,,,soybean,field cultivator,none,air planter,Almaco seed spector,4,"41.994476
",-93.68862568,"41.99481901
",-93.68862568,"41.99481901
",-93.69223071,"41.994476
",-93.69223069,270,,,,,,,no,,0.000812902,
2022,ILH1_2022,ILH1,Standard,Champaign,South Farms,AnSci200,,,8653,40.082499,-88.232147,,,soybean,,,air planter,Harvest Master,,40.082185,-88.232195,40.082182,-88.230235,40.082669,-88.230237,40.082671,-88.2322,,Link to additional weather source available online: https://www.isws.illinois.edu/warm/stationmeta.asp?site=CMI&from=wx,"In general, dry and hot summer.",,,,,no,5/11/22,0.000812902,
2022,INH1_2022,INH1,Standard,West Lafayette,ACRE,78,GxE,Raub/Brenton Complex,8657,40.482097,-87.001965,5/13/22,,corn,field cultivator,none,air planter,Harvest Master HM 800,5,40.482132,-87.003193,40.482112,-87.002385,40.482915,-87.002393,40.482912,-87.003182,0,,,,,,,no,,0.000696773,
2022,MIH1_2022,MIH1,Standard,"East Lansing, MI",Agronomy Farm,C7,,,9078,42.708194,-84.469633,5/23/22,,soybean,Chisel plow followed by cultivator,none,air planter,Harvest Master Hi Capacity Grain Gauge HM800,6,42.708211,-84.469542,42.708878,-84.469531,42.708878,-84.471578,42.708206,-84.471592,90,"had originally planned 25' plots with 3' alleys, but planter calibration was off so we had to increase alley size to 6' to make the alleys line up",sandhill cranes pulled out seedlings in sections of the field in late May/early June,,,,,no,5/20/22,0.00088258,
