Year,Field-Location,RecId,Source,Pedigree,Replicate,Block,Plot,Range,Pass,"LOCAL_CHECK (Yes, No[Blank])",Plot Length Field (center to center in feet),Alley Length (feet),Row Spacing (inches),Plot Area,Rows/Plot,Packet/Plot,Kernels/Packet,# Seed,Date Planted,Date Harvested,Anthesis [date],Silking [date],Pollen DAP [days],Silk DAP [days],Plant Height [cm],Ear Height [cm],Stand Count [plants],Root Lodging [plants],Stalk Lodging [plants],Grain Moisture [%],Test Weight [lbs/bu],Plot Weight [lbs],Grain Yield [bu/A],"Plot Discarded [enter ""yes"" or ""blank""]",Comments,"Filler [enter ""filler"" or ""blank""]",[add additional measurements here]
2015,DEH1,2662568,S14 IC-0166,PHB47/LH82,1,1,1,2,1,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,213,79,56,0,0,,,,,,combine ??,,
2015,DEH1,2662692,WE13-195ISO-149-X-POL-195,TX303/LH195,1,1,2,2,2,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/6/2015,7/9/2015,68,71,286,172,54,0,0,25.8,53.9,20.39,180.8729162,,,,
2015,DEH1,2662686,WISN14/43582,SD101/PHB47,1,1,3,2,3,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,239,92,60,0,4,20.8,54.3,11.02,104.342007,,,,
2015,DEH1,2662425,13SAJL:NURSE:0071,F42/OH43,1,1,4,2,4,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/4/2015,61,66,242,118,59,0,0,23.7,55.3,18.13,165.3768638,,,,
2015,DEH1,2662478,13SAJL:NURSE:0161,LH74/PHN82,1,1,5,2,5,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/30/2015,6/30/2015,62,62,211,92,58,0,0,19.4,57.8,18.06,174.0224175,,,,
2015,DEH1,2662518,14SJWE:PHZ51:09022,M0052/PHZ51,1,1,6,2,6,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/2/2015,61,64,244,124,59,0,0,16.8,59.2,18.46,183.6146938,,,,
2015,DEH1,2662473,WISN14/43031,LH61/PHB47,1,1,7,2,7,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/27/2015,6/28/2015,59,60,209,101,55,0,0,17.2,56.1,18.06,178.772409,,,,
2015,DEH1,2662507,13WJWE:LH185:2193,M0003/LH185,1,1,8,2,8,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/29/2015,7/1/2015,61,63,220,99,57,0,0,19.7,56.3,19.48,187.0065885,,,,
2015,DEH1,2662670,13WJWE:LH198:3551,PHW65_MOG_0271/LH198,1,1,9,2,9,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,7/6/2015,7/7/2015,68,69,216,103,56,0,0,,,,,,combine ??,,
2015,DEH1,2616032,S14 IC-0235,BSSSC0_032/LH82,1,1,10,2,10,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/30/2015,60,62,216,106,48,0,2,17.7,54.5,12.8,125.9395725,,,,
2015,DEH1,2662677,S14 IC-0179,PHZ51/LH82,1,1,11,2,11,,17.4,2,30,77,,,,,4/29/2015,9/14/2015,6/28/2015,6/29/2015,60,61,252,123,58,0,0,18.5,55.3,13.88,135.238232,,,,
